id;sifra_postupka;broj_partije;atc;inn;farmaceutski_oblik_lijeka;jacina_lijeka;trazena_kolicina;pakovanje;jedinica_mjere;procijenjena_vrijednost
1;17231;27313;Cape;Loan Saudi Borders;model leverage sensor;protocol Paraguay;99512;iterate;monetize Helena;26633
2;80978;27742;leading-edge;scalable intermediate;generating Product;Soft;44816;tan;killer;42107
3;85565;80684;red mission-critical;Account Chips;Pine;yellow calculating;21999;action-items e-markets;hardware RAM Handmade;35234
4;35752;20852;withdrawal override Manager;Associate;Practical cyan;B2C;12197;Usability interface Unbranded;HTTP Branding;28275
5;93379;53815;Pennsylvania architectures;cross-platform Automotive invoice;Unbranded solutions;Manager orchid mobile;63299;Orchestrator;vortals Dynamic Designer;95801
6;15188;35958;Steel;applications Balboa Bike;indexing revolutionary Salad;plug-and-play;36475;online;generate Rhode Bedfordshire;87112
7;26032;26390;blockchains Alabama;grow executive Common;Licensed Officer;payment;64705;non-volatile Dynamic Fish;granular;41660
8;57114;52628;Investment Benin dynamic;e-services Harbor;Bahamian Managed deposit;interface Buckinghamshire;39122;Principal intranet Gorgeous;Shirt circuit auxiliary;37962
9;25071;12918;override;Garden maximized;Pants Fantastic;Accounts;82180;Towels Cross-platform Mount;Generic;99896
10;93976;31672;Shores;deliverables partnerships;Rapids monetize;application brand;82762;Hat Central Cedi;Branding Dynamic Infrastructure;9436
